obs,gaminvLL,gaminvUL
1036,973.853338,1101.072339
1037,974.82289,1102.102773
1038,975.792457,1103.133192
1039,976.762038,1104.163596
1040,977.731634,1105.193986
1041,978.701244,1106.224361
1042,979.670869,1107.254721
1043,980.640509,1108.285067
1044,981.610163,1109.315399
1045,982.579832,1110.345716
1046,983.549515,1111.376018
1047,984.519213,1112.406307
1048,985.488925,1113.43658
1049,986.458651,1114.466839
1050,987.428392,1115.497084
1051,988.398148,1116.527314
1052,989.367918,1117.55753
1053,990.337702,1118.587732
1054,991.3075,1119.617919
1055,992.277313,1120.648092
1056,993.24714,1121.678251
1057,994.216982,1122.708396
1058,995.186838,1123.738526
1059,996.156708,1124.768642
1060,997.126592,1125.798744
1061,998.09649,1126.828831
1062,999.066403,1127.858905
1063,1000.036329,1128.888964
1064,1001.00627,1129.919009
1065,1001.976225,1130.94904
1066,1002.946195,1131.979057
1067,1003.916178,1133.00906
1068,1004.886175,1134.039049
1069,1005.856186,1135.069024
1070,1006.826212,1136.098985
1071,1007.796251,1137.128931
1072,1008.766304,1138.158864
1073,1009.736372,1139.188783
1074,1010.706453,1140.218688
1075,1011.676548,1141.248579
1076,1012.646657,1142.278457
1077,1013.61678,1143.30832
1078,1014.586917,1144.338169
1079,1015.557068,1145.368005
1080,1016.527232,1146.397827
1081,1017.49741,1147.427635
1082,1018.467603,1148.457429
1083,1019.437808,1149.48721
1084,1020.408028,1150.516977
1085,1021.378261,1151.54673
1086,1022.348509,1152.576469
1087,1023.318769,1153.606195
1088,1024.289044,1154.635907
1089,1025.259332,1155.665605
1090,1026.229634,1156.69529
1091,1027.199949,1157.724961
1092,1028.170278,1158.754619
1093,1029.140621,1159.784263
1094,1030.110977,1160.813893
1095,1031.081347,1161.84351
1096,1032.05173,1162.873114
1097,1033.022127,1163.902704
1098,1033.992537,1164.93228
1099,1034.96296,1165.961843
1100,1035.933398,1166.991393
1101,1036.903848,1168.020929
1102,1037.874312,1169.050452
1103,1038.84479,1170.079961
1104,1039.81528,1171.109457
1105,1040.785785,1172.13894
1106,1041.756302,1173.168409
1107,1042.726833,1174.197865
1108,1043.697377,1175.227308
1109,1044.667934,1176.256737
1110,1045.638505,1177.286153
1111,1046.609089,1178.315556
1112,1047.579686,1179.344946
1113,1048.550297,1180.374323
1114,1049.52092,1181.403686
1115,1050.491557,1182.433036
1116,1051.462207,1183.462373
1117,1052.43287,1184.491697
1118,1053.403546,1185.521008
1119,1054.374236,1186.550306
1120,1055.344938,1187.57959
1121,1056.315654,1188.608862
1122,1057.286382,1189.638121
1123,1058.257124,1190.667366
1124,1059.227879,1191.696599
1125,1060.198646,1192.725818
1126,1061.169427,1193.755025
1127,1062.140221,1194.784218
1128,1063.111027,1195.813399
1129,1064.081847,1196.842567
1130,1065.052679,1197.871721
1131,1066.023525,1198.900863
1132,1066.994383,1199.929992
1133,1067.965254,1200.959109
1134,1068.936138,1201.988212
1135,1069.907035,1203.017302
1136,1070.877944,1204.04638
1137,1071.848867,1205.075445
1138,1072.819802,1206.104497
1139,1073.79075,1207.133537
1140,1074.761711,1208.162563
1141,1075.732684,1209.191577
1142,1076.70367,1210.220579
1143,1077.674669,1211.249567
1144,1078.645681,1212.278543
1145,1079.616705,1213.307506
1146,1080.587742,1214.336457
1147,1081.558791,1215.365395
1148,1082.529854,1216.39432
1149,1083.500928,1217.423233
1150,1084.472016,1218.452134
1151,1085.443116,1219.481021
1152,1086.414228,1220.509896
1153,1087.385353,1221.538759
1154,1088.356491,1222.567609
1155,1089.327641,1223.596447
1156,1090.298803,1224.625272
1157,1091.269978,1225.654085
1158,1092.241166,1226.682885
